city,neighbourhood,street,Area,Number of rooms,Floor,No. of floors,Building type,Heating system,Equipment,Building Energy Efficiency Class,Additional premises,Additional Equipment,Security,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop,crime,Price,Percent_Decrease,build_year,renovation_year,is_renovated,is_price_decreased,STREET,AVG_BIRTH_YEAR,TOTAL_CHILDREN,TOTAL_PEOPLE,TOTAL_DIVORCED,TOTAL_WIDOWED,TOTAL_MARRIED,TOTAL_SINGLE
Vilnius,Pašilaičiai,Grigalaukio g.,41.66,2,5,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Plastic pipes Bath Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,137083,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Pašilaičiai,Grigalaukio g.,25.48,1,3,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Shower Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,91000,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Pašilaičiai,Grigalaukio g.,80.62,4,2,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Plastic pipes Shower Bath Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,228000,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Naujamiestis,Panerių g.,46.2,3,1,2,Brick,Geothermal,Partially equipped,A++,Terrace,,,570.0,390.0,350.0,280.0,31,198198,,2023,2023.0,0,0,Panerių g.,1984.8723958333333,100.0,384.0,39.0,23.0,115.0,207.0
Vilnius,Žirmūnai,Tuskulėnų g.,75.17,3,1,4,Brick,Central thermostat,Partially equipped,A+,Terrace Parking space,,Steel doors Code door lock,230.0,250.0,140.0,50.0,22,262000,,2022,2022.0,0,0,Tuskulėnų g.,1975.248310442555,1305.0,4587.0,547.0,459.0,1797.0,1784.0
Vilnius,Žirmūnai,Tuskulėnų g.,43.36,2,1,4,Brick,Central thermostat,Partially equipped,A+,Terrace Parking space,,Steel doors Code door lock,230.0,250.0,140.0,50.0,22,175600,,2022,2022.0,0,0,Tuskulėnų g.,1975.248310442555,1305.0,4587.0,547.0,459.0,1797.0,1784.0
Vilnius,Šnipiškės,Krokuvos g.,42.26,3,2,4,Brick,Central,Fully equipped,B,Storeroom Balcony Terrace Parking space Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,70.0,350.0,230.0,270.0,"76,91 €/month
~ 1,82 €/m²",157000,,1968,1968.0,0,0,Krokuvos g.,1978.2436500470367,286.0,1063.0,132.0,67.0,391.0,473.0
Vilnius,Viršuliškės,Viršuliškių skg.,42.11,2,2,18,Brick,Central thermostat,Partially equipped,A++,Balcony Terrace,Floor heating system Recuperation,Steel doors Code door lock Video surveillance,410.0,380.0,570.0,300.0,"41,69 €/month
~ 0,99 €/m²",121260,,2026,2026.0,0,0,Viršuliškių skg.,1983.495145631068,52.0,103.0,6.0,5.0,53.0,39.0
Vilnius,Žirmūnai,Tuskulėnų g.,37.74,2,3,4,Brick,Central thermostat,Partially equipped,A+,Parking space,Conditioner Floor heating system Recuperation,Steel doors Code door lock,230.0,250.0,140.0,50.0,22,160400,,2022,2022.0,0,0,Tuskulėnų g.,1975.248310442555,1305.0,4587.0,547.0,459.0,1797.0,1784.0
Vilnius,Lazdynėliai,Žaibo g.,63.91,3,1,4,Monolithic,Central thermostat,Fully equipped,,,,,160.0,1800.0,390.0,360.0,0,234000,,2023,2023.0,0,0,,,,,,,,
Vilnius,Žirmūnai,Kareivių g.,73.56,3,14,16,Monolithic,Central thermostat,Fully equipped,,Closet,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower,Steel doors Code door lock,70.0,520.0,140.0,90.0,"47,81 €/month
~ 0,65 €/m²",233000,,2006,2006.0,0,0,Kareivių g.,1980.509825327511,276.0,916.0,119.0,41.0,331.0,425.0
Vilnius,Pilaitė,Pilkalnio g.,62.73,3,2,4,Brick,Gas,Partially equipped,A++,Balcony,Floor heating system,Steel doors Code door lock Video surveillance,770.0,850.0,100.0,200.0,0,150524,,2025,2025.0,0,0,Pilkalnio g.,1993.9322709163346,260.0,502.0,35.0,6.0,217.0,244.0
Vilnius,Naujamiestis,Algirdo g.,25.34,1,2,5,Brick,Central thermostat,Partially equipped,A++,,,,100.0,100.0,190.0,240.0,28,149506,,2025,2025.0,0,0,Algirdo g.,1978.9120481927712,516.0,1660.0,232.0,118.0,572.0,738.0
Vilnius,Senamiestis,Pakalnės g.,86.88,3,3,3,Brick,"Central, electric",Fully equipped,,,,,320.0,180.0,250.0,120.0,7,294000,"1,7%",1992,1992.0,0,1,,,,,,,,
Vilnius,Naujamiestis,Vytenio g.,24.52,1,2,3,Brick,Central thermostat,Fully equipped,,,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,300.0,200.0,250.0,130.0,"41,68 €/month
~ 1,70 €/m²",120000,,1960,2023.0,1,0,Vytenio g.,1983.473136193253,542.0,2401.0,173.0,76.0,666.0,1486.0
Vilnius,Bajorai,Salaspilio g.,50.21,2,1,4,Brick,Gas,Fully equipped,A++,Terrace,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Recuperation,Steel doors Code door lock,1300.0,950.0,700.0,620.0,0,162500,,2023,2023.0,0,0,,,,,,,,
Vilnius,Karoliniškės,Loretos Asanavičiūtės g.,54.04,3,3,9,Block house,Central,Fully equipped,,Balcony Cellar Closet,Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,130.0,330.0,250.0,190.0,3,133700,,1972,1972.0,0,0,Loretos Asanavičiūtės g.,1975.9639611407083,930.0,3191.0,427.0,379.0,1199.0,1186.0
Vilnius,Karoliniškės,Sietyno g.,34.61,2,3,5,Brick,Central thermostat,Partially equipped,A++,Balcony,Floor heating system,Steel doors Code door lock Video surveillance,210.0,370.0,200.0,150.0,0,115944,,2025,2025.0,0,0,Sietyno g.,1986.312101910828,148.0,314.0,24.0,8.0,136.0,146.0
Vilnius,Pilaitė,M. Mažvydo g.,34.38,2,4,5,Block house,Central thermostat,Partially equipped,A++,Parking space,Floor heating system Recuperation,Steel doors Code door lock,440.0,620.0,360.0,160.0,4,94000,,2024,2024.0,0,0,M. Mažvydo g.,1990.3647887323943,1060.0,2130.0,162.0,47.0,923.0,998.0
Vilnius,Naujininkai,Kaminkelio g.,50.29,2,3,4,Monolithic,Central thermostat,Partially equipped,,,,,320.0,260.0,260.0,490.0,2,166806,,2025,2025.0,0,0,Kaminkelio g.,1983.8784757981462,333.0,971.0,80.0,39.0,399.0,453.0
