city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Šnipiškės;Daugėliškio g.;245 000 € (3 735 €/m²);33;65,59 m²;3;4;7;2023;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Bath Recuperation;Steel doors Code door lock Video surveillance;350 m;500 m;450 m;80 m;14;14;A
Vilnius;Senamiestis;Vingrių g.;209 000 € (5 098 €/m²);6A;41 m²;2;4;5;2001;Brick;Central thermostat;Not equipped;Has elevator High ceiling Kitchen merged with room;Balcony Closet;;;280 m;250 m;150 m;80 m;31;;
Vilnius;Lazdynai;Erfurto g.;"Price decreased 0,9%
112 000 € (1 761 €/m²)";;63,6 m²;3;9;9;1971;Block house;Central;Fully equipped;Internet Kitchen merged with room;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;120 m;150 m;220 m;40 m;14;;
Vilnius;Viršuliškės;Viršuliškių g.;159 000 € (2 038 €/m²);99;78 m²;4;2;5;1978;Block house;Central;Fully equipped;Separate bathroom and WC;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Dish washer;;140 m;310 m;380 m;250 m;10;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;124 000 € (2 185 €/m²);35;56,74 m²;2;11;12;2008;Brick;Central thermostat;Fully equipped;Separate bathroom and WC New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;130 m;790 m;60 m;200 m;"41,99 €/month
~ 0,74 €/m²";;
Vilnius;Pašilaičiai;Dociškių g.;"Price decreased 1,7%
118 000 € (3 165 €/m²)";7;37,28 m²;2;7;7;2014;Brick;Central thermostat;Fully equipped;Has elevator Kitchen merged with room;Storeroom Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;370 m;420 m;140 m;150 m;"22,37 €/month
~ 0,60 €/m²";;
Vilnius;Antakalnis;Šilo g.;769 999 € (2 831 €/m²);;272 m²;8;1;1;1975;Brick;Gas;Fully equipped;Private entrance Two-floor flat Private yard Internet;Storeroom Balcony Parking space Attic Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower Bath;Steel doors Alarm system;630 m;440 m;630 m;90 m;2;;
Vilnius;Senamiestis;Bernardinų g.;410 000 € (6 376 €/m²);;64,3 m²;3;2;2;1990;Brick;Central;Fully equipped;High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Shower Bath;Steel doors Alarm system Code door lock;500 m;130 m;130 m;110 m;"147,25 €/month
~ 2,29 €/m²";;
Vilnius;Naujamiestis;Algirdo g.;77 990 € (3 714 €/m²);;21 m²;2;4;5;1986;Brick;Central;Fully equipped;Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;310 m;300 m;190 m;240 m;"24,57 €/month
~ 1,17 €/m²";;
Vilnius;Naujamiestis;Birželio 23-iosios g.;549 000 € (4 321 €/m²);;127,04 m²;5;8;9;2020;Brick;Central thermostat;Fully equipped;Has elevator Kitchen merged with room;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;140 m;260 m;320 m;260 m;18;;A
Vilnius;Naujamiestis;Birželio 23-iosios g.;549 000 € (4 321 €/m²);;127,04 m²;4;8;9;2020;Brick;Central thermostat;Fully equipped;Kitchen merged with room;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;140 m;260 m;320 m;260 m;18;;A
Vilnius;Verkiai;Pulko g.;"Price decreased 1,6%
179 800 € (3 108 €/m²)";3;57,85 m²;3;2;7;2024;Block house;Central thermostat;Partially equipped;;;;;230 m;580 m;390 m;190 m;7;;A
Vilnius;Lazdynėliai;Lazdynėlių g.;148 000 € (3 451 €/m²);16E;42,88 m²;2;2;4;2023;Brick;Central thermostat;Fully equipped;Has elevator;;;;530 m;1,5 km;240 m;200 m;0;;
Vilnius;Šeškinė;Musninkų g.;109 000 € (2 746 €/m²);5;39,69 m²;2;1;5;1980;Block house;Central;Fully equipped;Separate bathroom and WC New sewage system New electrical installation Internet Kitchen merged with room;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock;120 m;390 m;300 m;140 m;17;;
Vilnius;Šnipiškės;Daugėliškio g.;190 000 € (5 278 €/m²);33;36 m²;2;4;7;2023;Brick;Central thermostat;Fully equipped;Has elevator;Balcony;Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock Video surveillance;350 m;500 m;450 m;80 m;14;85;A
