city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Naujamiestis;Savanorių pr.;86 000 € (2 324 €/m²);70;37 m²;2;2;5;1962;Brick;Central;Fully equipped;Internet;Balcony;Bath;Steel doors Code door lock;80 m;140 m;250 m;70 m;"54,02 €/month
~ 1,46 €/m²";;
Vilnius;Pilaitė;Priegliaus g.;194 500 € (3 136 €/m²);;62,02 m²;3;4;6;2014;Block house;Central thermostat;Fully equipped;;;;;300 m;300 m;130 m;180 m;"33,49 €/month
~ 0,54 €/m²";;
Vilnius;Naujamiestis;Gerosios Vilties g.;95 000 € (2 111 €/m²);4;45 m²;2;3;5;1962;Block house;Central;Fully equipped;;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;380 m;190 m;240 m;120 m;17;;
Vilnius;Žvėrynas;Vilkų g.;320 000 € (6 038 €/m²);5;53 m²;2;3;4;2021;Brick;Geothermal;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Terrace Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;;180 m;480 m;390 m;280 m;13;;A+
Vilnius;Senamiestis;Kauno g.;257 000 € (3 577 €/m²);6A;71,84 m²;3;2;4;1940;Brick;Central;Fully equipped;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Closet;;Steel doors Code door lock;340 m;240 m;110 m;50 m;40;;
Vilnius;Senamiestis;Tilto g.;"Price decreased 9,1%
499 000 € (4 141 €/m²)";;120,5 m²;4;1;2;1940 construction, 2014 renovation;Brick;Gas;Fully equipped;;;;;310 m;120 m;220 m;190 m;28;;
Vilnius;Lazdynėliai;Žaibo g.;165 000 € (3 750 €/m²);7;44 m²;2;1;4;2022;Brick;Central thermostat;Fully equipped;;;;;140 m;1,8 km;390 m;360 m;"20,24 €/month
~ 0,46 €/m²";;
Vilnius;Naujamiestis;A. Vivulskio g.;315 000 € (4 088 €/m²);10;77,05 m²;4;1;4;1940;Brick;Central;Fully equipped;;;;;90 m;190 m;150 m;170 m;25;;
Vilnius;Jeruzalė;Ateities g.;54 000 € (1 380 €/m²);;39,13 m²;2;5;5;1978;Block house;Central;Fully equipped;;;;;40 m;710 m;150 m;100 m;6;;
Vilnius;Naujininkai;Kapsų g.;137 000 € (3 630 €/m²);19A;37,74 m²;2;2;5;2024;Monolithic;Central thermostat, sun energy;Partially equipped;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Terrace;Floor heating system Plastic pipes Recuperation;Steel doors Alarm system Code door lock Video surveillance;460 m;410 m;370 m;450 m;1;;A++
Vilnius;Senamiestis;Trakų g.;280 000 € (4 118 €/m²);15;68 m²;3;1;3;1982;Brick;Central;Fully equipped;Private yard Internet Cable television;Parking space Closet;Washing machine Furniture Refrigerator Stove Dish washer Bath;Steel doors Code door lock;100 m;90 m;120 m;60 m;21;;
Vilnius;Paneriai;Kirtimų g.;41 000 € (2 343 €/m²);;17,5 m²;1;1;4;2022;Block house;Central thermostat;Fully equipped;High ceiling Kitchen merged with room;;;Steel doors;2,1 km;2,1 km;1,9 km;330 m;0;;
Vilnius;Žvėrynas;Lapių g.;330 000 € (5 593 €/m²);3;59 m²;2;2;5;2023;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;90 m;250 m;100 m;110 m;3;;
Vilnius;Žirmūnai;Rinktinės g.;70 000 € (2 139 €/m²);37;32,73 m²;1;3;9;1976;Block house;Central;Other;Sale by auction;;;;250 m;140 m;260 m;110 m;"40,26 €/month
~ 1,23 €/m²";83;
Vilnius;Žirmūnai;Žirmūnų g.;115 000 € (3 833 €/m²);68;30 m²;2;3;3;1960 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;High ceiling Two-floor flat New sewage system New electrical installation Kitchen merged with room;;Furniture Washing machine Kitchen furniture Stove Dish washer;Steel doors Code door lock;190 m;260 m;150 m;100 m;11;;
Vilnius;Naujamiestis;Gerosios Vilties g.;"Price decreased 4,7%
102 000 € (1 793 €/m²)";;56,89 m²;3;3;5;1961;Block house;Central;Fully equipped;;Balcony;;;340 m;190 m;240 m;150 m;19;;
Vilnius;Senamiestis;Subačiaus g.;270 000 € (4 091 €/m²);;66 m²;2;3;3;1940;Brick;Gas, solid fuel;Fully equipped;High ceiling Private yard;Storeroom Balcony Cellar;;Steel doors Code door lock;250 m;180 m;280 m;220 m;28;;
Vilnius;Senamiestis;Subačiaus g.;270 000 € (4 154 €/m²);12;65 m²;3;2;3;1940;Brick;Gas;Fully equipped;High ceiling Private yard Internet;Storeroom Balcony Cellar;;Steel doors Code door lock;250 m;180 m;280 m;220 m;28;;
Vilnius;Antakalnis;P. Vileišio g.;"Price decreased 0,4%
260 000 € (4 000 €/m²)";;65 m²;2;1;4;1940 construction, 2005 renovation;Brick;Electric, gas;Fully equipped;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;520 m;250 m;450 m;170 m;10;;
Vilnius;Žirmūnai;Žirmūnų g.;124 500 € (2 835 €/m²);40;43,92 m²;2;5;5;1966;Block house;Central;Fully equipped;New sewage system New electrical installation;Balcony Closet;;Steel doors;130 m;230 m;530 m;280 m;"48,75 €/month
~ 1,11 €/m²";;
Vilnius;Antakalnis;Svajonių g.;745 000 € (3 622 €/m²);;205,71 m²;5;2;3;2012;Brick;Gas;Fully equipped;;;;;790 m;760 m;440 m;360 m;2;;
Vilnius;Valakampiai;Svajonių g.;745 000 € (3 622 €/m²);;205,71 m²;5;2;3;2012;Brick;Gas;Fully equipped;;;;;790 m;760 m;440 m;360 m;2;;
Vilnius;Justiniškės;Sviliškių g.;138 000 € (2 463 €/m²);;56,03 m²;2;2;5;2008;Brick;Central thermostat;Fully equipped;Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;280 m;210 m;200 m;130 m;"30,26 €/month
~ 0,54 €/m²";;
Vilnius;Antakalnis;Volungės g.;118 000 € (2 343 €/m²);18;50,36 m²;2;5;5;1979;Brick;Central;Other;Separate bathroom and WC;Storeroom Balcony Cellar;;Steel doors Code door lock;340 m;110 m;300 m;230 m;"72,01 €/month
~ 1,43 €/m²";;
Vilnius;Fabijoniškės;P. Žadeikos g.;"Price decreased 0,7%
150 000 € (1 848 €/m²)";28;81,19 m²;4;8;9;1989;Block house;Central;Fully equipped;Separate bathroom and WC New sewage system New electrical installation Internet;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower Bath;Code door lock;210 m;380 m;320 m;170 m;6;;D
Vilnius;Pašilaičiai;Pavilnionių g.;179 000 € (2 379 €/m²);33;75,25 m²;3;2;7;2008;Monolithic;Central thermostat;Fully equipped;Has elevator Separate bathroom and WC Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;320 m;610 m;110 m;160 m;"48,16 €/month
~ 0,64 €/m²";;
Vilnius;Žvėrynas;Saltoniškių g.;600 000 € (5 085 €/m²);36;118 m²;4;9;10;2008;Block house;Central thermostat;Fully equipped;;;;;480 m;250 m;200 m;120 m;"132,16 €/month
~ 1,12 €/m²";;
Vilnius;Senamiestis;K. Kalinausko g.;140 000 € (3 111 €/m²);11A;45 m²;2;1;2;1940;Log house;Gas;Fully equipped;Private entrance New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Kitchen furniture Plastic pipes Shower;Steel doors;410 m;60 m;490 m;280 m;23;;
Vilnius;Senamiestis;K. Kalinausko g.;120 000 € (2 500 €/m²);11A;48 m²;2;2;2;1940;Log house;Gas;Fully equipped;Private entrance New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Terrace Parking space;Washing machine Furniture Kitchen furniture Stove Bath;;410 m;60 m;490 m;280 m;23;;
Vilnius;Naujamiestis;Vytenio g.;110 000 € (2 576 €/m²);;42,7 m²;2;4;4;1959;Brick;Central;Fully equipped;;Balcony Cellar;;;260 m;230 m;260 m;90 m;"64,90 €/month
~ 1,52 €/m²";;
Vilnius;Žirmūnai;Žirmūnų g.;"Price decreased 1,9%
105 000 € (2 202 €/m²)";8;47,68 m²;2;2;5;1965;Block house;Central;Partially equipped;;Balcony Cellar;Bath;Steel doors Code door lock;180 m;300 m;170 m;160 m;"52,92 €/month
~ 1,11 €/m²";88;
Vilnius;Justiniškės;Justiniškių g.;195 000 € (2 407 €/m²);76;81 m²;4;8;9;1985 construction, 2015 renovation;Block house;Central thermostat;Fully equipped;Has elevator;Storeroom Balcony Cellar;;;230 m;340 m;440 m;50 m;"50,22 €/month
~ 0,62 €/m²";;B
Vilnius;Paupys;Aukštaičių g.;379 000 € (6 534 €/m²);10;58 m²;2;1;4;2020;Brick;Central thermostat;Fully equipped;Has elevator New sewage system New electrical installation Private yard Internet Kitchen merged with room;Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock;280 m;300 m;160 m;70 m;"24,36 €/month
~ 0,42 €/m²";;A
Vilnius;Tarandė;V. Smakausko g.;178 000 € (3 868 €/m²);;46,02 m²;2;2;3;2018;Brick;Gas;Fully equipped;;;;;390 m;1,4 km;790 m;470 m;0;;
Vilnius;Senamiestis;Gėlių g.;"Price decreased 3%
96 900 € (4 614 €/m²)";;21 m²;1;1;4;1940;Brick;Electric;Fully equipped;;;;;120 m;300 m;120 m;20 m;49;;
Vilnius;Lazdynėliai;Lazdynėlių g.;125 000 € (2 718 €/m²);8;45,99 m²;2;3;5;2005;Block house;Central;Fully equipped;Kitchen merged with room;Storeroom;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;;500 m;1,1 km;310 m;230 m;"28,05 €/month
~ 0,61 €/m²";;
Vilnius;Senamiestis;Didžioji g.;535 000 € (5 691 €/m²);;94 m²;3;2;3;1940 construction, 2015 renovation;Brick;Central thermostat;Partially equipped;;;;;410 m;90 m;50 m;110 m;24;;
Vilnius;Markučiai;Paplaujos g.;414 000 € (4 600 €/m²);;90 m²;3;4;5;2013;Brick;Central thermostat;Fully equipped;Internet Private entrance High ceiling Two-floor flat New electrical installation Kitchen merged with room Cable television;Balcony Parking space Terrace;Fireplace Furniture Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Shower Bath;Steel doors Alarm system Guard Code door lock;450 m;610 m;260 m;170 m;4;;
Vilnius;Viršuliškės;Viršuliškių g.;98 900 € (1 553 €/m²);47;63,67 m²;3;1;9;1977;Block house;Central;Fully equipped;;;;;130 m;480 m;240 m;270 m;"71,31 €/month
~ 1,12 €/m²";;
Vilnius;Lazdynai;Žėručio g.;155 000 € (2 140 €/m²);;72,43 m²;3;5;5;1970;Block house;Central;Fully equipped;;;;;230 m;80 m;280 m;180 m;11;;
Vilnius;Šiaurės miestelis;Kazimiero Ladygos g.;"Price decreased 1,9%
155 000 € (2 870 €/m²)";5;54 m²;2;2;7;2003;Brick;Central thermostat;Fully equipped;Has elevator Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;290 m;130 m;150 m;250 m;14;;
Vilnius;Šiaurės miestelis;Kazimiero Ladygos g.;"Price decreased 1,9%
155 000 € (2 870 €/m²)";5;54 m²;2;2;7;2003;Block house;Central thermostat;Fully equipped;;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;290 m;130 m;150 m;250 m;14;36;
Vilnius;Jeruzalė;Maumedžių g.;"Price decreased 1,6%
127 000 € (2 778 €/m²)";9;45,71 m²;2;1;9;1990;Brick;Central;Fully equipped;Kitchen merged with room;;Furniture Washing machine Kitchen furniture Stove Dish washer;Code door lock;280 m;570 m;320 m;230 m;"57,14 €/month
~ 1,25 €/m²";;
Vilnius;Senamiestis;S. Skapo g.;690 000 € (7 041 €/m²);;98 m²;3;3;3;1940;Brick;Gas;Fully equipped;High ceiling Two-floor flat Separate bathroom and WC Private yard Kitchen merged with room;Storeroom Balcony Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Shower Bath;Steel doors Code door lock;590 m;130 m;130 m;200 m;18;;
Vilnius;Naujamiestis;Vinco Kudirkos g.;490 000 € (3 603 €/m²);;136 m²;4;4;4;2000;Brick;Gas;Fully equipped;High ceiling Two-floor flat Separate bathroom and WC Kitchen merged with room;Storeroom Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors;160 m;350 m;410 m;330 m;5;;
Vilnius;Naujoji Vilnia;Dūmų g.;37 000 € (2 056 €/m²);3 K1;18 m²;1;3;3;1988;Brick;Electric;Fully equipped;;;;;810 m;950 m;410 m;80 m;7;;
Vilnius;Fabijoniškės;Vėtrungių g.;125 000 € (1 871 €/m²);;66,8 m²;3;1;5;1990;Block house;Central;Fully equipped;;Balcony Closet;;Code door lock;140 m;270 m;210 m;180 m;3;;
Vilnius;Senamiestis;J. Basanavičiaus g.;158 000 € (5 153 €/m²);2;30,66 m²;2;3;3;1940;Brick;Central;Fully equipped;High ceiling Kitchen merged with room;;Furniture Refrigerator Kitchen furniture Stove Dish washer;Steel doors Code door lock;180 m;220 m;130 m;60 m;30;;
Vilnius;Lazdynėliai;Žaibo g.;145 000 € (3 537 €/m²);21;41 m²;2;1;4;2019;Brick;Central thermostat, gas;Fully equipped;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Terrace;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;180 m;1,8 km;390 m;350 m;0;;
Vilnius;Karoliniškės;Rolando Jankausko g.;135 900 € (1 745 €/m²);;77,9 m²;4;1;5;1972;Block house;Central;Fully equipped;;;;;480 m;150 m;250 m;170 m;13;;
Vilnius;Naujamiestis;Savanorių pr.;69 500 € (3 233 €/m²);;21,5 m²;1;5;9;1965;Block house;Central;Fully equipped;;;;;250 m;310 m;150 m;120 m;"30,53 €/month
~ 1,42 €/m²";;
Vilnius;Senamiestis;Sodų g.;728 000 € (4 376 €/m²);;166,37 m²;8;2;3;1940;Brick;Gas;Fully equipped;Internet High ceiling Cable television;Balcony;Furniture Stove Bath;Steel doors;130 m;280 m;180 m;60 m;54;;
Vilnius;Viršuliškės;Viršilų g.;185 000 € (3 935 €/m²);6;47,01 m²;2;16;18;2023;Monolithic;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony Parking space;Conditioner Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;380 m;280 m;680 m;190 m;12;;
Vilnius;Šnipiškės;Rinktinės g.;"Price decreased 5,6%
119 900 € (2 910 €/m²)";44A;41,2 m²;2;1;4;1964 construction, 2015 renovation;Brick;Central;Fully equipped;Internet;Cellar Closet;Washing machine Kitchen furniture Stove;Steel doors Code door lock;70 m;290 m;140 m;170 m;16;;C
Vilnius;Naujamiestis;Skroblų g.;47 500 € (2 375 €/m²);;20 m²;1;7;12;1976;Brick;Central;Fully equipped;Has elevator Separate bathroom and WC Internet;;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Code door lock;150 m;310 m;240 m;170 m;11;;
Vilnius;Markučiai;Subačiaus g.;337 500 € (2 500 €/m²);;135 m²;4;4;4;2019;Brick;Central thermostat;Partially equipped;;;;;460 m;260 m;480 m;140 m;4;;
Vilnius;Senamiestis;Subačiaus g.;337 500 € (2 500 €/m²);;135 m²;4;3;3;2019;Brick;Central thermostat;Partially equipped;;;;;460 m;260 m;480 m;140 m;4;;
Vilnius;Šiaurės miestelis;Žygio g.;189 900 € (3 034 €/m²);90;62,59 m²;2;2;8;2007;Brick;Central thermostat;Fully equipped;;;;;30 m;430 m;80 m;130 m;"43,19 €/month
~ 0,69 €/m²";;
Vilnius;Baltupiai;Didlaukio g.;"Price decreased 2,4%
134 700 € (2 103 €/m²)";;64,06 m²;3;1;5;1978;Block house;Central;Fully equipped;;;;;260 m;90 m;280 m;110 m;9;;
Vilnius;Naujoji Vilnia;Pergalės g.;47 800 € (2 988 €/m²);;16 m²;1;2;3;1960 construction, 2022 renovation;Brick;Central thermostat;Fully equipped;;;;;230 m;180 m;350 m;300 m;7;;
Vilnius;Šnipiškės;Rinktinės g.;"Price decreased 1,6%
240 000 € (4 898 €/m²)";3A;49 m²;2;1;7;2020;Brick;Central thermostat;Fully equipped;Internet New sewage system New electrical installation Kitchen merged with room Cable television;Balcony Terrace;Furniture Washing machine Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Recuperation;Steel doors Code door lock;410 m;300 m;220 m;230 m;"24,01 €/month
~ 0,49 €/m²";;A+
Vilnius;Antakalnis;Tverečiaus g.;"Price decreased 1,3%
157 000 € (3 204 €/m²)";10;49 m²;3;3;5;1963;Brick;Central;Fully equipped;New sewage system New electrical installation Internet Cable television;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;90 m;220 m;240 m;180 m;6;;
Vilnius;Vilkpėdė;Vaduvos g.;"Price decreased 1,4%
71 500 € (1 775 €/m²)";;40,29 m²;1;3;5;1984;Block house;Central;Partially equipped;;;;;2 km;170 m;400 m;50 m;"19,34 €/month
~ 0,48 €/m²";;
Vilnius;Lazdynėliai;Jonažolių g.;199 000 € (2 653 €/m²);15;75 m²;3;6;9;2008;Block house;Central thermostat;Fully equipped;Separate bathroom and WC Kitchen merged with room;Balcony;Furniture Conditioner Kitchen furniture Stove Bath;Steel doors Alarm system Code door lock;310 m;510 m;260 m;110 m;"49,50 €/month
~ 0,66 €/m²";;
Vilnius;Grigiškės;Mokyklos g.;65 000 € (2 167 €/m²);;30 m²;1;2;2;1960;Brick;Central;Fully equipped;;;;;400 m;180 m;130 m;40 m;3;;
Vilnius;Jeruzalė;Rugių g.;149 000 € (2 838 €/m²);;52,51 m²;2;5;5;1999;Brick;Central;Fully equipped;;;;;450 m;550 m;500 m;180 m;5;;
Vilnius;Senamiestis;Tauro g.;147 000 € (4 479 €/m²);12;32,82 m²;2;1;5;1941 construction, 2021 renovation;Brick;Gas;Fully equipped;High ceiling New sewage system New electrical installation Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;370 m;320 m;300 m;240 m;16;;
Vilnius;Užupis;Polocko g.;470 000 € (3 013 €/m²);6;156 m²;6;2;3;1940;Brick;Central;Not equipped;;;;;250 m;190 m;300 m;70 m;"293,28 €/month
~ 1,88 €/m²";;
Vilnius;Baltupiai;Baltupio g.;130 000 € (2 204 €/m²);81;58,99 m²;2;2;5;1996;Brick;Central;Fully equipped;Separate bathroom and WC;Storeroom Balcony Cellar;Washing machine Refrigerator Kitchen furniture Stove Bath;Code door lock;170 m;730 m;270 m;160 m;6;;A
Vilnius;Kalnėnai;Keltų g.;299 900 € (2 685 €/m²);12B;111,7 m²;4;1;2;2023;Brick;Aerothermal;Fully equipped;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Kitchen merged with room;Terrace Parking space Closet;Floor heating system Plastic pipes Shower Bath Recuperation;Alarm system;1,6 km;1,4 km;1,5 km;780 m;1;;
Vilnius;Senamiestis;Gedimino pr.;308 672 € (5 600 €/m²);;55,12 m²;2;3;5;2022;Brick;Central thermostat;Partially equipped;Private yard High ceiling;Balcony;;Steel doors Guard Video surveillance Code door lock;510 m;140 m;70 m;90 m;12;;
Vilnius;Senamiestis;Gedimino pr.;635 136 € (6 400 €/m²);;99,24 m²;5;5;5;2022;Brick;Central thermostat;Partially equipped;Private yard High ceiling;Balcony;;Steel doors Guard Video surveillance Code door lock;510 m;140 m;70 m;90 m;12;;
Vilnius;Pilaitė;Tilžės g.;192 855 € (1 950 €/m²);;98,9 m²;4;1;2;2022;Brick;Gas;Partially equipped;;;;;470 m;470 m;720 m;640 m;4;;
Vilnius;Pilaitė;Tilžės g.;192 855 € (1 950 €/m²);;98,9 m²;4;1;2;2022;Brick;Gas;Partially equipped;;;;;470 m;470 m;720 m;640 m;4;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;"Price decreased 2,4%
160 000 € (2 000 €/m²)";39;80 m²;3;5;12;2007;Block house;Central thermostat;Fully equipped;Kitchen merged with room;Balcony;Furniture Bath;Steel doors Code door lock;130 m;830 m;50 m;190 m;"52,80 €/month
~ 0,66 €/m²";;
Vilnius;Šnipiškės;Konstitucijos pr.;"Price decreased 3,3%
289 000 € (2 861 €/m²)";;101 m²;3;4;9;2005;Monolithic;Central thermostat;Fully equipped;;;Conditioner;;320 m;110 m;280 m;90 m;"93,93 €/month
~ 0,93 €/m²";;
Vilnius;Naujamiestis;Pamėnkalnio g.;310 990 € (3 443 €/m²);18;90,32 m²;3;2;4;2000;Brick;Gas;Fully equipped;Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;240 m;310 m;280 m;150 m;23;;
Vilnius;Antakalnis;M. K. Paco g.;"Price decreased 0,8%
253 000 € (4 568 €/m²)";3C;55,39 m²;2;1;3;2022;Brick;Gas;Fully equipped;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Terrace;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Alarm system Code door lock Video surveillance;290 m;380 m;710 m;220 m;2;3;B
Vilnius;Šnipiškės;Giedraičių g.;109 000 € (3 088 €/m²);15;35,3 m²;3;1;2;1940;Wooden house;Gas;Fully equipped;Private entrance High ceiling Flat in an attic Two-floor flat New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Attic;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Plastic pipes Shower;;80 m;380 m;230 m;210 m;19;;
Vilnius;Antakalnis;M. K. Paco g.;419 500 € (4 899 €/m²);3B;85,63 m²;4;3;3;2022;Brick;Gas;Fully equipped;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance;310 m;370 m;690 m;220 m;2;;B
Vilnius;Santariškės;Bajorų kel.;235 000 € (2 938 €/m²);;80 m²;3;4;7;2008;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television;Storeroom Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance;110 m;1,4 km;200 m;140 m;1;;
Vilnius;Antakalnis;Sokiškių g.;"Price decreased 1,6%
187 000 € (2 493 €/m²)";;75 m²;3;2;2;2022;Brick;Gas;Fully equipped;;Balcony Parking space Attic Closet;;;1,6 km;1,6 km;1,3 km;120 m;0;;
Vilnius;Pilaitė;Bitėnų g.;223 000 € (1 593 €/m²);11;140 m²;4;2;3;1995;Brick;Central;Fully equipped;;;;;530 m;360 m;520 m;130 m;0;;
Vilnius;Pilaitė;Sidaronių g.;185 000 € (2 985 €/m²);29;61,97 m²;3;3;3;2023;Brick;Central thermostat;Fully equipped;Has elevator;;;;710 m;720 m;620 m;60 m;0;;
Vilnius;Burbiškės;Burbiškių g.;185 000 € (4 625 €/m²);6;40 m²;1;2;4;2022;Block house;Electric;Fully equipped;;;;;720 m;640 m;740 m;960 m;1;;
Vilnius;Šiaurės miestelis;Žygio g.;"Price decreased 2,8%
175 000 € (3 443 €/m²)";14;50,83 m²;2;2;3;1940;Brick;Central;Fully equipped;High ceiling New sewage system New electrical installation Internet Cable television;Storeroom Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Alarm system Code door lock;260 m;400 m;260 m;280 m;12;;
Vilnius;Pašilaičiai;Gabijos g.;"Price decreased 2,2%
132 000 € (1 976 €/m²)";;66,8 m²;2;8;9;2004;Brick;Central;Fully equipped;Kitchen merged with room;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;310 m;510 m;30 m;80 m;"48,76 €/month
~ 0,73 €/m²";;
Vilnius;Senamiestis;Gynėjų g.;80 000 € (4 092 €/m²);;19,55 m²;1;2;4;1960;Brick;Central;Fully equipped;;;;;350 m;70 m;220 m;220 m;"23,26 €/month
~ 1,19 €/m²";;
Vilnius;Lazdynėliai;Lazdynėlių g.;175 000 € (4 023 €/m²);38A;43,5 m²;2;2;4;2019;Brick;Central thermostat;Fully equipped;Has elevator Private yard;Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;320 m;1,6 km;220 m;190 m;"17,84 €/month
~ 0,41 €/m²";;A+
Vilnius;Lazdynai;Architektų g.;87 900 € (1 870 €/m²);;47 m²;2;5;5;1971;Block house;Central;Fully equipped;Separate bathroom and WC;Balcony Cellar;Washing machine Furniture Refrigerator Stove;Steel doors;520 m;110 m;250 m;120 m;"42,77 €/month
~ 0,91 €/m²";;
Vilnius;Pašilaičiai;Sviliškių g.;166 000 € (3 073 €/m²);8;54,02 m²;2;8;9;2007;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;340 m;300 m;250 m;210 m;"28,63 €/month
~ 0,53 €/m²";;
Vilnius;Žemieji Paneriai;Titnago g.;119 900 € (2 590 €/m²);7;46,3 m²;2;2;5;2022;Brick;Electric;Fully equipped;Two-floor flat New sewage system New electrical installation Kitchen merged with room;;Washing machine Furniture Kitchen furniture Stove Dish washer;Code door lock;1,2 km;960 m;510 m;140 m;2;;
Vilnius;Pilaitė;Geryčių g.;385 000 € (2 852 €/m²);23A;135 m²;5;2;2;2024;Other;Electric, sun energy;Fully equipped;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard;Terrace Parking space;Conditioner Floor heating system Plastic pipes Shower Bath Recuperation;Alarm system;1,6 km;1,5 km;740 m;490 m;0;;A++
Vilnius;Pilaitė;Prūslaukių g.;385 000 € (2 852 €/m²);20;135 m²;5;2;2;2024;Other;Electric, sun energy;Fully equipped;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard;Storeroom Terrace Parking space;Conditioner Floor heating system Plastic pipes Shower Bath Recuperation;Alarm system;1,6 km;1,5 km;710 m;470 m;0;1;A++
Vilnius;Lazdynai;Architektų g.;105 000 € (1 749 €/m²);;60,04 m²;3;4;5;1971;Block house;Central;Fully equipped;Separate bathroom and WC;Balcony Cellar;Furniture Kitchen furniture Shower;Steel doors Code door lock;360 m;200 m;330 m;210 m;"63,04 €/month
~ 1,05 €/m²";;
