city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Žirmūnai;Verkių g.;"Price decreased 3,8%
199 000 € (4 146 €/m²)";39;;48 m²;2;1;9;2022;Block house;Central thermostat;Fully equipped;;Has elevator New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;170 m;540 m;280 m;100 m;4;;
Vilnius;Žirmūnai;Verkių g.;194 000 € (4 022 €/m²);39;;48,24 m²;2;1;9;2022;Block house;Central thermostat;Fully equipped;;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;170 m;540 m;280 m;100 m;4;;
Vilnius;Naujamiestis;T. Ševčenkos g.;"Price decreased 1%
96 000 € (4 571 €/m²)";21;;21 m²;2;2;3;2024;Brick;Central thermostat;Fully equipped;B;Private entrance High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;190 m;120 m;270 m;190 m;16;;
Vilnius;Naujininkai;Meistrų g.;"Price decreased 28,6%
25 000 € (1 337 €/m²)";8;;18,7 m²;1;2;3;1981 construction, 2024 renovation;Brick;Gas;Partially equipped;;;;;;1 km;1,5 km;1,7 km;110 m;0;;
Vilnius;Fabijoniškės;Vėtrungių g.;177 000 € (2 412 €/m²);;;73,38 m²;3;12;12;2006;Brick;Central thermostat;Fully equipped;;;;;;630 m;700 m;160 m;50 m;10;;
Vilnius;Pašilaičiai;Medeinos g.;107 500 € (2 688 €/m²);;;40 m²;2;6;9;1986;Block house;Central;Fully equipped;C;Internet Cable television;Balcony Cellar Closet;Washing machine Bath;Steel doors Code door lock;380 m;70 m;130 m;210 m;"46,00 €/month
~ 1,15 €/m²";;
Vilnius;Senamiestis;Tauro g.;255 000 € (3 012 €/m²);;;84,66 m²;3;3;5;1959;Brick;Central;Fully equipped;;Internet High ceiling Separate bathroom and WC Cable television;Balcony;Bath;Steel doors Code door lock;400 m;260 m;240 m;190 m;"88,89 €/month
~ 1,05 €/m²";;
Vilnius;Antakalnis;Antakalnio g.;130 000 € (2 203 €/m²);87;;59 m²;3;4;5;1964;Brick;Central;Fully equipped;;;;;;140 m;80 m;180 m;40 m;"81,42 €/month
~ 1,38 €/m²";;
Vilnius;Paupys;Paupio g.;530 037 € (4 782 €/m²);58;A011;110,84 m²;4;1;3;2024;Brick;Central thermostat;Partially equipped;;Private entrance New sewage system New electrical installation Private yard Kitchen merged with room;Terrace;Conditioner Floor heating system Shower Bath Recuperation;Steel doors Code door lock;660 m;530 m;250 m;70 m;5;;
Vilnius;Pašilaičiai;Eitminų g.;127 572 € (2 658 €/m²);19;;48 m²;2;9;9;2018;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space;Furniture Kitchen furniture Plastic pipes Bath;Steel doors Code door lock;210 m;1 km;540 m;170 m;"17,76 €/month
~ 0,37 €/m²";;
