city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Flat No.
Vilnius;Baltupiai;Didlaukio g.;110 000 € (1 719 €/m²);;64 m²;3;6;9;1978;Block house;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony Cellar;Washing machine Refrigerator Bath;Steel doors;240 m;170 m;120 m;50 m;7;;
Vilnius;Senamiestis;Švitrigailos g.;99 972 € (3 570 €/m²);;28 m²;1;4;5;1975;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television;Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;120 m;100 m;120 m;50 m;"33,88 €/month
~ 1,21 €/m²";;
Vilnius;Senamiestis;Vilniaus g.;420 000 € (5 862 €/m²);;71,65 m²;3;4;4;2008;Brick;Gas;Fully equipped;;Private yard Internet New sewage system;;Fireplace Furniture Conditioner Refrigerator Kitchen furniture Dish washer Shower Bath;Code door lock;140 m;50 m;110 m;20 m;25;;
Vilnius;Fabijoniškės;Vėtrungių g.;139 000 € (2 610 €/m²);;53,26 m²;2;4;12;2006;Brick;Central thermostat;Fully equipped;;;;;;740 m;670 m;270 m;170 m;10;;
Vilnius;Lazdynėliai;Neužmirštuolių g.;225 000 € (1 604 €/m²);;140,3 m²;4;4;5;1993;Brick;Central;Fully equipped;;;;;;250 m;880 m;60 m;80 m;0;;
Vilnius;Naujamiestis;Kauno g.;109 000 € (3 695 €/m²);30;29,5 m²;2;4;4;1970;Brick;Aerothermal, other;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Private yard Cable television Kitchen merged with room;Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock Video surveillance;460 m;270 m;110 m;70 m;13;;
Vilnius;Naujamiestis;Savanorių pr.;460 000 € (4 169 €/m²);1;110,34 m²;4;17;27;2009;Monolithic;Central thermostat;Fully equipped;;High ceiling Separate bathroom and WC Internet Cable television Kitchen merged with room;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Video surveillance Guard;320 m;140 m;70 m;140 m;"139,03 €/month
~ 1,26 €/m²";;
Vilnius;Senamiestis;Trakų g.;689 999 € (8 042 €/m²);14;85,8 m²;3;2;3;2012;Brick;Central thermostat;Fully equipped;;High ceiling Kitchen merged with room;Terrace;Furniture Washing machine Kitchen furniture Stove Dish washer;Steel doors Alarm system Code door lock;70 m;90 m;160 m;90 m;"96,10 €/month
~ 1,12 €/m²";;
Vilnius;Žvėrynas;Latvių g.;445 000 € (7 946 €/m²);;56 m²;2;4;4;2022;Brick;Central thermostat;Fully equipped;A+;High ceiling;Storeroom Terrace Closet;Washing machine Furniture Floor heating system Kitchen furniture Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;290 m;450 m;620 m;570 m;0;;
Vilnius;Naujamiestis;Vandentiekio g.;"Price decreased 3%
82 000 € (2 827 €/m²)";30;29,01 m²;1;2;4;1961;Brick;Central;Fully equipped;;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Cellar;Kitchen furniture Stove Shower;Steel doors Code door lock;150 m;170 m;310 m;170 m;"44,97 €/month
~ 1,55 €/m²";;
Vilnius;Šnipiškės;A. Juozapavičiaus g.;651 000 € (5 918 €/m²);;110 m²;3;2;5;2008;Block house;Central thermostat;Fully equipped;;Private yard Kitchen merged with room;Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Stove Dish washer Shower;Steel doors Alarm system Code door lock Video surveillance Guard;80 m;180 m;270 m;290 m;21;;
Vilnius;Naujoji Vilnia;Linksmoji g.;109 000 € (1 982 €/m²);60;55 m²;2;5;5;1994;Brick;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar;Conditioner Bath;Steel doors Code door lock;710 m;310 m;150 m;200 m;"57,75 €/month
~ 1,05 €/m²";;
Vilnius;Lazdynai;Kazimiero Jelskio g.;299 000 € (3 583 €/m²);;83,45 m²;3;2;2;2011;Brick;Gas;Fully equipped;;Private entrance High ceiling Two-floor flat Private yard Internet Cable television Kitchen merged with room;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;;500 m;470 m;610 m;510 m;1;;
Vilnius;Rasos;Gardino g.;316 848 € (4 200 €/m²);;75,44 m²;4;2;3;2024;Brick;Aerothermal;Partially equipped;;;;;;210 m;420 m;910 m;190 m;6;;
Vilnius;Rasos;Gardino g.;330 427 € (4 380 €/m²);;75,44 m²;4;2;3;2024;Brick;Aerothermal;Partially equipped;;;;;;210 m;420 m;910 m;190 m;6;;
Vilnius;Rasos;Gardino g.;312 750 € (3 750 €/m²);;83,4 m²;3;1;3;2024;Brick;Aerothermal;Partially equipped;;;;;;210 m;420 m;910 m;190 m;6;;
Vilnius;Šeškinė;Laisvės pr.;169 000 € (2 579 €/m²);;65,52 m²;2;3;9;2000;Brick;Central thermostat;Fully equipped;;Separate bathroom and WC Kitchen merged with room;Balcony Cellar Closet;Furniture Washing machine Bath;;170 m;300 m;320 m;170 m;10;;
Vilnius;Antakalnis;Duburio g.;152 000 € (2 596 €/m²);;58,55 m²;2;3;4;2023;Brick;Gas;Fully equipped;A+;Kitchen merged with room;Balcony;;Steel doors Code door lock;1,6 km;1,7 km;1,4 km;410 m;0;;
Vilnius;Naujoji Vilnia;Dūmų g.;70 999 € (1 392 €/m²);3;51 m²;2;2;3;1981;Brick;Electric;Fully equipped;;;;;;990 m;1,1 km;610 m;100 m;3;;
Vilnius;Naujamiestis;Naugarduko g.;61 500 € (2 050 €/m²);41;30 m²;2;3;4;1967 construction, 2008 renovation;Brick;Gas;Not equipped;;;;;;270 m;370 m;200 m;20 m;13;Accommodation, hotel purpose;
Vilnius;Naujamiestis;S. Konarskio g.;335 000 € (3 779 €/m²);30C;88,65 m²;4;4;4;2023;Brick;Central thermostat;Partially equipped;A+;Two-floor flat New electrical installation;Balcony;Conditioner Recuperation;Steel doors;410 m;110 m;170 m;180 m;20;;
Vilnius;Žirmūnai;Kareivių g.;"Price decreased 3,9%
149 000 € (3 170 €/m²)";19;47 m²;1;10;16;2007;Monolithic;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath Recuperation;Steel doors Code door lock;70 m;520 m;140 m;90 m;"30,55 €/month
~ 0,65 €/m²";;
Vilnius;Justiniškės;Talino g.;43 999 € (2 750 €/m²);;16 m²;1;2;4;1990;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes;Steel doors Code door lock;200 m;140 m;190 m;270 m;5;;
Vilnius;Naujoji Vilnia;Linksmoji g.;"Price decreased 5,1%
129 900 € (1 715 €/m²)";;75,74 m²;4;5;5;1983;Brick;Central;Fully equipped;;Internet Kitchen merged with room;Balcony;Furniture;Code door lock;670 m;440 m;250 m;190 m;"96,19 €/month
~ 1,27 €/m²";;
Vilnius;Fabijoniškės;Ateities g.;235 000 € (2 735 €/m²);77;85,93 m²;3;3;6;2003;Brick;Gas;Fully equipped;;High ceiling Private yard Kitchen merged with room;Balcony Terrace Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock Video surveillance;540 m;270 m;170 m;130 m;4;;
Vilnius;Žirmūnai;Kareivių g.;"Price decreased 1,4%
34 500 € (2 738 €/m²)";11;12,6 m²;1;4;5;1981;Brick;Central;Fully equipped;;Kitchen merged with room;Parking space;Furniture Refrigerator Stove;Code door lock;260 m;600 m;70 m;210 m;"13,48 €/month
~ 1,07 €/m²";;
Vilnius;Šiaurės miestelis;Ulonų g.;279 000 € (3 150 €/m²);3;88,56 m²;3;3;6;2008;Brick;Central thermostat;Fully equipped;;;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower Bath;Steel doors Code door lock;120 m;510 m;120 m;30 m;"85,02 €/month
~ 0,96 €/m²";;
Vilnius;Pilaitė;Sidaronių g.;"Price increased 3,4%
185 000 € (3 354 €/m²)";;55,15 m²;3;1;1;2024;Brick;Aerothermal;Partially equipped;A+;Private entrance Separate bathroom and WC New sewage system New electrical installation Private yard Kitchen merged with room;Terrace Parking space;Floor heating system;;590 m;730 m;870 m;40 m;1;Accommodation, hotel purpose;
Vilnius;Santariškės;Santariškių g.;240 000 € (3 411 €/m²);;70,37 m²;3;3;3;2007;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony;Furniture Bath;Steel doors Code door lock;80 m;2 km;300 m;200 m;"66,15 €/month
~ 0,94 €/m²";;
Vilnius;Senamiestis;A. Vienuolio g.;"Price increased 2,8%
370 000 € (3 102 €/m²)";;119,27 m²;4;4;5;1963 construction, 2003 renovation;Brick;Central thermostat;Fully equipped;;Internet High ceiling Two-floor flat Cable television;;Conditioner Washing machine;Steel doors Code door lock;230 m;230 m;120 m;200 m;20;;
Vilnius;Naujamiestis;S. Konarskio g.;174 000 € (3 480 €/m²);;50 m²;2;6;9;2002;Brick;Central thermostat;Fully equipped;;;;;;260 m;260 m;360 m;140 m;23;;
Vilnius;Šnipiškės;Daugėliškio g.;395 000 € (3 969 €/m²);33;99,53 m²;5;1;2;2023;Brick;Central thermostat;Fully equipped;;;;;;350 m;500 m;450 m;80 m;14;;69
Vilnius;Senamiestis;S. Skapo g.;"Price decreased 4,3%
133 000 € (4 110 €/m²)";8;32,36 m²;2;1;2;1940;Brick;Gas;Fully equipped;;;;;;610 m;150 m;110 m;170 m;17;;
Vilnius;Lazdynėliai;Neužmirštuolių g.;255 000 € (2 564 €/m²);3;99,44 m²;3;2;6;1994;Brick;Central, electric;Fully equipped;;Kitchen merged with room;Terrace Parking space;Furniture;Code door lock;340 m;960 m;150 m;170 m;"71,60 €/month
~ 0,72 €/m²";;
Vilnius;Žirmūnai;Kareivių g.;149 000 € (3 336 €/m²);2H;44,66 m²;1;1;2;2020;Brick;Gas;Fully equipped;;Private entrance High ceiling;Terrace;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;;190 m;520 m;410 m;170 m;8;;7
Vilnius;Naujoji Vilnia;Dūmų g.;"Price decreased 6%
85 750 € (1 021 €/m²)
(interested in changing)";3;84 m²;2;2;3;1980;Brick;Electric;Fully equipped;B;New sewage system New electrical installation Kitchen merged with room;Storeroom Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower Recuperation;Steel doors Code door lock Video surveillance;990 m;1,1 km;610 m;100 m;3;;
Vilnius;Naujoji Vilnia;Pramonės g.;47 900 € (1 295 €/m²);;37 m²;2;5;5;1981;Brick;Electric;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;;Washing machine Furniture Kitchen furniture Plastic pipes Shower;Steel doors Code door lock;1 km;1,2 km;1,2 km;170 m;1;;
